iter	Passed	Remaining
305	474	1076
306	475	1074
307	476	1071
308	477	1068
309	478	1065
310	479	1062
311	480	1059
312	482	1058
313	484	1057
314	485	1055
315	487	1054
316	487	1051
317	488	1048
318	489	1045
319	490	1042
320	491	1039
321	492	1036
322	495	1038
323	496	1035
324	497	1033
325	499	1031
326	501	1031
327	502	1029
328	503	1026
329	503	1023
330	504	1020
331	505	1016
332	506	1013
333	507	1010
334	507	1008
335	508	1005
336	509	1002
337	510	999
338	511	996
339	512	995
340	514	993
341	515	990
342	515	987
343	516	985
344	517	982
345	518	979
346	518	976
347	519	973
348	520	970
349	521	967
350	521	964
351	522	962
352	523	959
353	524	956
354	524	953
355	525	951
356	527	949
357	528	947
358	529	945
359	530	942
360	531	940
361	531	937
362	532	934
363	533	932
364	534	929
365	535	927
366	535	924
367	536	921
368	537	919
369	538	916
370	538	913
371	539	911
372	540	909
373	542	907
374	543	905
375	544	903
376	544	900
377	545	897
378	546	895
379	547	892
380	547	890
381	548	887
382	549	884
383	550	882
384	550	879
385	551	877
386	552	874
387	553	872
388	553	869
389	554	867
390	556	866
391	557	864
392	557	861
393	558	859
394	559	857
395	560	854
396	560	852
397	561	849
398	562	847
399	563	844
400	563	842
401	564	839
402	565	837
403	566	835
404	566	832
405	567	830
406	568	828
407	569	825
408	570	824
409	571	822
410	572	820
411	573	818
412	574	815
413	574	813
414	575	811
415	576	809
416	577	806
417	577	804
418	578	802
419	579	799
420	580	797
421	580	795
422	581	793
423	582	791
424	583	788
425	583	786
426	584	784
427	586	783
428	587	781
429	588	779
430	588	777
431	589	775
432	590	773
433	591	771
434	592	768
435	592	766
436	593	764
437	594	762
438	595	760
439	595	758
440	596	756
441	597	754
442	598	752
443	598	750
444	599	748
445	600	746
446	601	744
447	602	742
448	603	740
449	604	738
450	605	736
451	605	734
452	606	732
453	607	730
454	608	728
455	608	726
456	609	724
457	610	722
458	611	720
459	611	718
460	612	716
461	613	714
462	614	712
463	615	711
464	616	709
465	617	707
466	618	705
467	618	703
468	619	701
469	620	699
470	621	697
471	622	695
472	622	693
473	623	691
474	624	689
